"dataid","success","I_c","phi_0","f","T","r","C","r_squared","adj_r_squared","rmse","mae","residual_mean","residual_std","error","skipped"
100Ic-,true,0.00000488675259210884,0.09508354024169459,999974.6800759927,0.9999975519022181,-0.02665822801552193,0.00015832120642780324,0.473323672068263,0.4616197536697799,0.000017032044103954178,0.000011019957817792267,-0.0000884577168512487,3.4064088196423,,
101Ic,true,0.00004903417270108371,2.2923789267895804,80.53231282947176,2.795981522490722e-24,-0.0015102683870218962,0.00005229613002879146,0.726185443906334,0.7033675642318618,0.000023043127376944563,0.000018110377203229058,-2.0504848564513262e-8,23.043127376944565,,
102Ic-,true,0.00004518522068618179,2.2129463242040894,79.59023303012584,1.1770443990245529e-20,-0.001396957849837291,0.000049037819781604516,0.6544959021152836,0.6221048929385914,0.000023387591929458216,0.00001798449620536219,-1.4666809688509936e-8,11.693795964729112,,
103Ic-,true,0.00004232309890196723,3.1415926534978986,100067.26539019345,6.4797545442621285e-24,0.010881129849699724,0.000017140546130598937,0.7836505102538902,0.7705384199662472,0.000017747064094446945,0.000008046855542816029,6.773923268851059e-8,17.747064094446944,,
104Ic-,false,,,,,,,,,,,,,Insufficient data points (11 < 20),
105Ic-,true,0.0000724263527264455,1.6569098101912065,99.26139489784488,1.1481106999124374e-36,-0.004053724258647609,0.0000755375542093337,0.6498971395553466,0.6052031573709227,0.00004152329695335119,0.000034163298793672955,-3.0691742283453195e-8,41.52329695335117,,
106Ic-,true,0.000006749516649835371,0.06543596228199808,389.30651297145954,5.33370510353849e-12,0.0038884265984314107,0.000004500000000021058,0.9376505617189862,0.8908884830082259,0.0000013735698025158668,0.0000012354542666357378,-0.01713259869808583,0.24911024134479917,,
106Ic+,true,0.000005296196628907066,0.42087878019172453,397.4775269013796,5.2043841415812163e-23,0.0030770127903251418,0.0000035,0.9058941424165792,0.843156904027632,0.0000013888133349928427,0.0000012146454185944316,-0.03784865439381148,0.5542344955641144,,
107Ic,true,0.00004037599671026875,2.1449057849303945,79.09028736113038,2.077149954052549e-25,-0.0012826194936609533,0.00004467837826501472,0.5874548327925132,0.5487787233668113,0.00002420669546840862,0.000018453463647244927,-1.7990625477622558e-8,16.137796978939093,,
109Ic,true,0.00004027052184458251,1.4601299863102866,72.80975792486613,1.4920813110212268e-26,-0.0011734773710784228,0.000042579410946107886,0.6305964595087041,0.5959648775876452,0.00002247522677976071,0.000017475325641376702,-5.0373735755441193e-8,14.983484519840461,,
108Ic-,false,,,,,,,,,,,,,Insufficient data points (11 < 20),
110Ic-,true,0.000041906374078680306,1.4764123603410344,73.61280772590311,1.7545469466354017e-30,-0.0013607526052011386,0.00004488973024222627,0.6031702587229092,0.5659674704781819,0.000024886315471915066,0.000019370591937821797,-1.0273441640431973e-8,16.590876981276697,,
112Ic,true,0.000006537483767506963,2.384309884655747,82.96043021074603,4.879972378850351e-27,-0.00021594264237641454,0.000006988932693937416,0.39482843650314603,0.33809360242531594,0.000005672593427161912,0.000003771600171423416,-5.125558731748069e-9,5.672593427161912,,
111Ic,true,0.000006044043511387052,0.9138936851868392,1481.6927240156629,4.005301901866297e-27,-0.0008309269517555731,0.000018819160386828903,0.4238658614056766,0.29583605282916026,0.0000055162896522657915,0.000004529649756959984,-4.1603844552435687e-11,0.6489752532077403,,
115Ic,true,0.000009792234397868593,2.3613456385284426,83.15569893084584,8.774698246217798e-28,-0.00035269496681078347,0.000010227528383859275,0.40164717274532014,0.34555159519019385,0.000008409709749888476,0.0000059278842815314925,-1.8745320488333036e-8,8.409709749888478,,
116Ic+,true,0.000007054458639159694,-2.5089799220657114,118.99693638434623,0.9999999940591624,0.0010202481282839987,0.0000064756402486638525,0.4475462033064258,0.3957536598664032,0.000014171672382061521,0.000010640832625638666,-0.000016259878960816184,0.2778759285843073,,
