dataid,success,I_c,phi_0,f,T,r,C,r_squared,adj_r_squared,rmse,mae,residual_mean,residual_std,error,skipped
100Ic-,True,4.88675259210884e-06,0.09508354024169459,999974.6800759927,0.9999975519022181,-0.02665822801552193,0.00015832120642780324,0.473323672068263,0.4616197536697799,1.7032044103954178e-05,1.1019957817792267e-05,-8.84577168512487e-05,3.4064088196423,,
101Ic,True,4.903417270108371e-05,2.2923789267895804,80.53231282947176,2.795981522490722e-24,-0.0015102683870218962,5.229613002879146e-05,0.726185443906334,0.7033675642318618,2.3043127376944563e-05,1.8110377203229058e-05,-2.0504848564513262e-08,23.043127376944565,,
102Ic-,True,4.518522068618179e-05,2.2129463242040894,79.59023303012584,1.1770443990245529e-20,-0.001396957849837291,4.9037819781604516e-05,0.6544959021152836,0.6221048929385914,2.3387591929458216e-05,1.798449620536219e-05,-1.4666809688509936e-08,11.693795964729112,,
103Ic-,True,4.232309890196723e-05,3.1415926534978986,100067.26539019345,6.4797545442621285e-24,0.010881129849699724,1.7140546130598937e-05,0.7836505102538902,0.7705384199662472,1.7747064094446945e-05,8.046855542816029e-06,6.773923268851059e-08,17.747064094446944,,
104Ic-,False,,,,,,,,,,,,,Insufficient data points (11 < 20),
105Ic-,True,7.24263527264455e-05,1.6569098101912065,99.26139489784488,1.1481106999124374e-36,-0.004053724258647609,7.55375542093337e-05,0.6498971395553466,0.6052031573709227,4.152329695335119e-05,3.4163298793672955e-05,-3.0691742283453195e-08,41.52329695335117,,
106Ic-,True,6.749516649835371e-06,0.06543596228199808,389.30651297145954,5.33370510353849e-12,0.0038884265984314107,4.500000000021058e-06,0.9376505617189862,0.8908884830082259,1.3735698025158668e-06,1.2354542666357378e-06,-0.01713259869808583,0.24911024134479917,,
106Ic+,True,5.296196628907066e-06,0.42087878019172453,397.4775269013796,5.2043841415812163e-23,0.0030770127903251418,3.5e-06,0.9058941424165792,0.843156904027632,1.3888133349928427e-06,1.2146454185944316e-06,-0.03784865439381148,0.5542344955641144,,
107Ic,True,4.037599671026875e-05,2.1449057849303945,79.09028736113038,2.077149954052549e-25,-0.0012826194936609533,4.467837826501472e-05,0.5874548327925132,0.5487787233668113,2.420669546840862e-05,1.8453463647244927e-05,-1.7990625477622558e-08,16.137796978939093,,
109Ic,True,4.027052184458251e-05,1.4601299863102866,72.80975792486613,1.4920813110212268e-26,-0.0011734773710784228,4.2579410946107886e-05,0.6305964595087041,0.5959648775876452,2.247522677976071e-05,1.7475325641376702e-05,-5.0373735755441193e-08,14.983484519840461,,
