dataid,I_c,I_c_error,r_squared,chi_squared,processing_time
100Ic-,4.88675259210884e-06,,0.473323672068263,,0
101Ic,4.903417270108371e-05,,0.726185443906334,,0
102Ic-,4.518522068618179e-05,,0.6544959021152836,,0
103Ic-,4.232309890196723e-05,,0.7836505102538902,,0
105Ic-,7.24263527264455e-05,,0.6498971395553466,,0
106Ic-,6.749516649835371e-06,,0.9376505617189862,,0
106Ic+,5.296196628907066e-06,,0.9058941424165792,,0
107Ic,4.037599671026875e-05,,0.5874548327925132,,0
109Ic,4.027052184458251e-05,,0.6305964595087041,,0
110Ic-,4.1906374078680306e-05,,0.6031702587229092,,0
112Ic,6.537483767506963e-06,,0.39482843650314603,,0
111Ic,6.044043511387052e-06,,0.4238658614056766,,0
115Ic,9.792234397868593e-06,,0.40164717274532014,,0
116Ic+,7.054458639159694e-06,,0.4475462033064258,,0
117Ic+,8.621220631076481e-06,,0.4188524331653781,,0
117Ic-,4.07507833493917e-06,,0.40534953227049564,,0
116Ic-,4.5851730745551294e-05,,0.7394709350722712,,0
118Ic-,8.16535720192293e-06,,0.35885438319280094,,0
119Ic+,9.601256163749931e-06,,0.9136502459258697,,0
119Ic-,3.3038084831491345e-06,,0.8938268406460496,,0
118Ic+,6.0808365375632635e-06,,0.7228719864540389,,0
120Ic-,4.977227780422303e-06,,0.4928224679467974,,0
120Ic+,1.7250295193591287e-05,,0.9893450065278618,,0
121Ic-,2.7016450248474534e-06,,0.38792130198719765,,0
121Ic+,3.0570764327283844e-06,,0.16032379579956846,,0
122Ic-,3.431794045577109e-06,,0.6049252874500011,,0
122Ic+,5.05436851751537e-06,,0.25307287575329074,,0
123Ic+,2.4453070429292693e-06,,0.1090041786189786,,0
123Ic-,4.1562416642071454e-08,,0.2280953513170385,,0
125Ic+,4.322512711004904e-06,,0.9613049833958159,,0
126Ic+,4.055524339197876e-06,,0.9541967429457665,,0
125Ic-,4.7430478546305195e-07,,0.2857760112319897,,0
127Ic,3.988925059194344e-06,,0.9487534989944713,,0
129Ic+,3.346934789196901e-06,,0.9676926311442354,,0
130Ic+,2.9050951004798102e-06,,0.9447079806614432,,0
129Ic-,1.0460238681777535e-05,,0.7473378542632527,,0
